Difficulty,Type,Question,Correct Answer,Wrong 1,Wrong 2,Wrong 3
hard,estimate,How many voice channels does the Nintendo Entertainment System support natively?,5,4,6,3
hard,multiple,"What is the real name of ""Warhead"" in the Sega Genesis game ""Vectorman""?",Raster,Peacehead,Vectorkid,Bitmap
medium,multiple,Which of these is NOT a terrorist faction in Counter-Strike (2000)?,Midwest Militia,Phoenix Connection,Elite Crew,Guerrilla Warfare
hard,multiple,"Which team won the ""Tom Clancy's Rainbow Six Siege"" Invitational Event February 2017 in the PC Category?",Continuum,GIFU,Santos Dexterity,eRa Eternity
hard,multiple,"""Banjo-Kazooie"" originally started its development as a totally different game for the SNES under which codename?",Project Dream,Project Ukulele,Project Land,Project BK
easy,multiple,Which of these following weapon or equipment exists in Counter Strike but not in Counter Strike: Source?,Tactical Shield,Molotov Cocktail,MP5 Navy,TMP
easy,multiple,What ingredients are required to make a cake in Minecraft?,"Milk, Sugar, Egg, and Wheat","Milk, Bread, Egg, and Wheat","Milk, Sugar Cane, Egg, and Wheat","Milk, Sugar, and Wheat"
hard,multiple,"In Geometry Dash, what is level 13?",Electroman Adventures,Theory of Everything,Clubstep ,Clutterfunk
easy,multiple,"Which ""Fallout: New Vegas"" quest is NOT named after a real-life song?",They Went That-a-Way,Come Fly With Me,Ain't That a Kick in the Head,Ring-a-Ding Ding
medium,multiple,"In Portal 2, which solar system body did Wheatley end up orbiting?",The moon,Earth,Jupiter,Mars
medium,multiple,"Which of these is the only fighter in the game ""Super Smash Bros. Melee"" capable of dealing damage with their taunt animation?",Luigi,Mr. Game & Watch,Jigglypuff,Pichu
medium,multiple,"In Dota 2, what is Earthshaker's real name?",Raigor Stonehoof,Banehallow Ambry,Carl,Barathrum
medium,multiple,Who created the Final Fantasy series developed by Square Enix?,Hironobu Sakaguchi,Yuji Horii,Akira Toriyama,Tetsuya Nomura
easy,multiple,Which of the following games has the largest map size?,Just Cause 2,Grand Theft Auto 5,The Elder Scrolls 4:  Oblivion,The Witcher 3:  Wild Hunt
medium,estimate,How many controllers could a Nintendo GameCube have plugged in at one time?,4,8,6,2
easy,multiple,"In the Half-Life series, Gordon Freeman's signature weapon is a:",Crowbar,Sledgehammer,Fiber Wire,Katana
