Difficulty,Type,Question,Correct Answer,Wrong 1,Wrong 2,Wrong 3
medium,boolean,"In the animated series Futurama, the character Phllip J. Fry is his own grandfather.",True,False,,
easy,multiple,"In season one of the Netflix political drama ""House of Cards"", what government position does Frank Underwood hold?",House Majority Whip,Attorney General,President,Chief of Staff
medium,boolean,The television show Doctor Who first aired in 1963.,True,False,,
easy,multiple,"In Two and a Half Men, what is Alan Harper's son's name?",Jake,John,Jeremy,James
hard,multiple,"In Star Trek, what is the name of Spock's father?",Sarek,Tuvok,T'Pal,Surak
easy,multiple,"In the TV show ""Mad Men"", what was Donald Draper's birthname?","Richard ""Dick"" Whitman",Donald Draper,John Ashbury,"Michael ""Mikey"" Wilhelm"
hard,multiple,Who played the sun baby in the original run of Teletubbies?,Jessica Smith,Pui Fan Lee,Sue Monroe,Lisa Brockwell
easy,multiple,"In the show ""Dragonball Z"", what is the name of Cell's most powerful attack?",Solar Kamehameha,Super Kamehameha,Cell Kamehameha,Android Kamehameha
medium,multiple,Cesar Romero played which iconic Batman villain from the 1960's TV show?,The Joker,The Penguin,The Riddler,Mr. Freeze
easy,estimate,"How many seasons did the Sci-Fi television show ""Stargate Atlantis"" have?",5,10,2,7
hard,multiple,What was the date of original airing of the pilot episode of My Little Pony: Friendship is Magic?,"October 10th, 2010","November 6th, 2010","April 14th, 1984","May 18th, 2015"
medium,multiple,"What is the name of the inspector in the series ""On the Buses""?",Blakey,Harper,Naily,Gally
medium,multiple,"In the TV series ""Person of Interest"", who plays the character ""Harold Finch""?",Michael Emerson,Jim Caviezel,Taraji P. Henson,Kevin Chapman
easy,multiple,What country is Cory in the House set in?,The United States of America,Canada,Venezuala,England
hard,multiple,What's Dr. Doofenshmirtz first name?,Heinz,Hans,Hank,Heidi
easy,estimate,When did the TV show Rick and Morty first air on Adult Swim?,2013,2014,2016,2015
hard,multiple,"Which of the following actors portrayed the Ninth Doctor in the British television show ""Doctor Who""?",Christopher Eccleston,David Tennant,Matt Smith,Tom Baker
easy,multiple,"In ""Breaking Bad"", Walter White is a high school teacher diagnosed with which form of cancer?",Lung Cancer,Prostate Cancer,Brain Cancer,Testicular Cancer
medium,multiple,"In Naruto: Shippuden, which of the following elements is a ""Kekkei Tōta?""",Particle Style,Any Doujutsu,Shadow Style,Ice Style
easy,multiple,"In the show ""Futurama"" what is Fry's full name?",Philip J. Fry,Fry J. Philip,Fry Rodríguez,Fry Philip
medium,multiple,"In ""Star Trek"", what is the Ferengi's First Rule of Acquisition?","Once you have their money, you never give it back. ",Never place friendship above profit,Greed is Eternal,Never allow family to stand in the way of opportunity
easy,multiple,Which of the following won the first season of American Idol in 2002?,Kelly Clarkson,Justin Guarini,Ruben Studdard,Chris Daughtry
easy,boolean,"""The Simpsons"" family is named after creator Matt Groening's real family.",True,False,,
medium,multiple,"Which WWF wrestler had the nickname ""The Ayatollah of Rock 'N' Rolla""?",Chris Jericho,Marty Jannetty,Scott Hall,Shawn Michaels
medium,multiple,What is the name of the mad scientist who owns Planet Express in Futurama?,Hubert J. Farnsworth,Philip J. Fry,Rick Sanchez,Ogden Wernstrom
easy,multiple,What TV show is about a grandfather dragging his grandson around on adventures?,Rick & Morty,Family Guy,South Park,American Dad
easy,multiple,Which character was played by Dustin Diamond in the sitcom 'Saved by the Bell'?,Screech,Zack,Mr. Belding,A.C. Slater
medium,multiple,"In Breaking Bad, the initials W.W. refer to which of the following?",Walter White,William Wolf,Willy Wonka,Wally Walrus
