Difficulty,Type,Question,Correct Answer,Wrong 1,Wrong 2,Wrong 3
hard,multiple,Etihad Stadium is the home stadium for which team?,Manchester City,Manchester United,Arsenal,Blackpool
easy,boolean,"In association football, or soccer, a corner kick is when the game restarts after someone scores a goal.",False,True,,
medium,multiple,Which team was the 2014-2015 NBA Champions?,Golden State Warriors,Cleveland Cavaliers,Houston Rockets,Atlanta Hawks
hard,multiple,Which city features all of their professional sports teams' jersey's with the same color scheme?,Pittsburgh,New York,Seattle,Tampa Bay
easy,multiple,What team won the 2016 MLS Cup?,Seattle Sounders,Colorado Rapids,Toronto FC,Montreal Impact
medium,boolean,Soccer player Cristiano Ronaldo opened a museum dedicated to himself.,True,False,,
easy,boolean,Shaquille O’Neal has only made one three pointer in his career.,True,False,,
medium,multiple,Who was the top scorer of the 2014 FIFA World Cup?,James Rodríguez,Thomas Müller,Lionel Messi,Neymar
easy,multiple,"In bowling, what is the term used for getting three consecutive strikes?",Turkey,Flamingo,Birdie,Eagle
medium,multiple,Which player has scored the most goals in the England Premier League (EPL)?,Alan Shearer,Wayne Rooney,Lionel Messi,Didier Drogba
easy,multiple,Which African American is in part responsible for integrating  Major League baseball?,Jackie Robinson,Curt Flood,Roy Campanella,Satchell Paige
hard,multiple,Which female player won the gold medal of table tennis singles in 2016 Olympics Games?,DING Ning (China),LI Xiaoxia (China),Ai FUKUHARA (Japan),Song KIM (North Korea)
easy,multiple,Which country won the 2018 FIFA World Cup hosted in Russia?,France,Croatia,Belgium,England
medium,multiple,Which Formula One driver was nicknamed 'The Professor'?,Alain Prost,Ayrton Senna,Niki Lauda,Emerson Fittipaldi
easy,boolean,"In Rugby League, performing a ""40-20"" is punished by a free kick for the opposing team.",False,True,,
medium,boolean,Skateboarding was included in the 2020 Summer Olympics in Tokyo.,True,False,,
easy,multiple,Who won the premier league title in the 2015-2016 season following a fairy tale run?,Leicester City,Tottenham Hotspur,Watford,Stoke City
hard,multiple,Who scored the injury time winning goal in the 1999 UEFA Champions League final between Manchester United and Bayern Munich?,Ole Gunnar Solskjær,Dwight Yorke,Andy Cole,David Beckham
medium,multiple,"Which of these teams isn't a member of the NHL's ""Original Six"" era?",Philadelphia Flyers,New York Rangers,Toronto Maple Leafs,Boston Bruins
easy,estimate,When was the first official international game played?,1872,1880,1863,1865
hard,multiple,With which doubles partner did John McEnroe have most success?,Peter Fleming,Mark Woodforde,Michael Stich,Mary Carillo
medium,multiple,Which of these NHL teams have never moved since their inception?,St. Louis Blues,New Jersey Devils,Carolina Hurricanes,Dallas Stars
medium,boolean,Tennis was once known as Racquetball.,False,True,,
medium,estimate,Which of these jersey numbers has Shaquille O'Neal never worn?,35,36,33,32
medium,multiple,What national team won the 2016 edition of UEFA European Championship?,Portugal,France,Germany,England
easy,multiple,"In the 2014 FIFA World Cup, what was the final score in the match Brazil - Germany?",1-7,1-5,1-6,2-6
hard,estimate,Which year was the third Super Bowl held?,1969,1968,1971,1970
easy,estimate,When was the FC Schalke 04 founded?,1904,1909,2008,1999
medium,multiple,Who won the 2011 Stanley Cup?,Boston Bruins,Montreal Canadiens,New York Rangers,Toronto Maple Leafs
easy,multiple,"Which country produced football players such as Cafu, Roberto Carlos and Pelé?",Brazil,Argentina,Portugal,Spain
medium,multiple,In what sport does Fanny Chmelar compete for Germany?,Skiing,Swimming,Showjumping,Gymnastics
easy,multiple,"What sport features the terms love, deuce, match and volley?",Tennis,Cricket,Basketball,Curling
medium,multiple,Which professional wrestler fell from the rafters to his death during a live Pay-Per-View event in 1999?,Owen Hart,Chris Benoit,Lex Luger,Al Snow
medium,multiple,Which car manufacturer won the 2016 24 Hours of Le Mans?,Porsche,Toyota,Audi,Ferrari
medium,multiple,Who won NFL Super Bowl LI? (51),Patriots,Falcons,Broncos,Eagles
medium,multiple,Who won the 2015 College Football Playoff (CFP) National Championship? ,Ohio State Buckeyes,Alabama Crimson Tide,Clemson Tigers,Wisconsin Badgers
medium,multiple,What is the highest belt you can get in Taekwondo?,Black,White,Red,Green
medium,estimate,"In what year did Steaua București win the European Cup, actual UEFA Champions League, against FC Barcelona?",1986,1990,1982,1989
easy,multiple,Which country hosted the 2022 FIFA World Cup?,Qatar,USA,Japan,Switzerland
medium,multiple,Who is Manchester United's top premier league goal scorer?,Wayne Rooney,Sir Bobby Charlton,Ryan Giggs,David Beckham
easy,multiple,"""Stadium of Light"" is the home stadium for which soccer team?",Sunderland FC,Barcelona FC,Paris Saints-Germain,Manchester United
easy,multiple,Who won the 2016 Formula 1 World Driver's Championship?,Nico Rosberg,Lewis Hamilton,Max Verstappen,Kimi Raikkonen
hard,multiple,Which of these NHL players have never won a Hart Trophy for Regular Season MVP?,Steve Yzerman,Chris Pronger,Jose Theodore,Henrik Sedin
hard,multiple,Which English football team is nicknamed 'The Tigers'?,Hull City,Cardiff City,Bristol City,Manchester City
easy,multiple,The Los Angeles Dodgers were originally from what U.S. city?,Brooklyn,Las Vegas,Boston,Seattle
easy,multiple,The Rio 2016 Summer Olympics held it's closing ceremony on what date?,August 21,August 23,August 19,August 17
medium,multiple,Why was The Green Monster at Fenway Park was originally built?,To prevent viewing games from outside the park.,To make getting home runs harder.,To display advertisements.,To provide extra seating.
easy,estimate,Which year did Jenson Button won his first ever Formula One World Drivers' Championship?,2009,2010,2007,2006
medium,multiple,Who has played the most tournaments in the German national soccer team?,Lothar Matthäus,Miroslav Klose,Philipp Lahm,Oliver Kahn
medium,multiple,What cricketing term denotes a batsman being dismissed with a score of zero?,Duck,Bye,Beamer,Carry
hard,estimate,The Mazda 787B won the 24 Hours of Le Mans in what year?,1991,1990,2000,1987
medium,multiple,Which Formula 1 driver switched teams in the middle of the 2017 season?,Carlos Sainz Jr.,Daniil Kvyat,Jolyon Palmer,Rio Haryanto
hard,multiple,"Which Italian footballer told Neuer where he's putting his shot and dragging it wide, during the match Italy-Germany, UEFA EURO 2016?",Pelle,Insigne,Barzagli,Giaccherini
medium,estimate,How many French Open's did Björn Borg win?,6,4,9,2
medium,multiple,"Who won the ""Champions League"" in 1999?",Manchester United,Barcelona,Bayern Munich,Liverpool
medium,multiple,Josh Mansour is part of what NRL team?,Penrith Panthers,Melbourne Storm,Sydney Roosters,North Queensland Cowboys
medium,multiple,Who was the British professional wrestler Shirley Crabtree better known as?,Big Daddy,Giant Haystacks,Kendo Nagasaki,Masambula
medium,multiple,In what country were the 2014 Winter Olympics held in the town of Sochi?,Russia,South Korea,Norway,Canada
medium,multiple,Which basketball team has attended the most NBA grand finals?,Los Angeles Lakers,Boston Celtics,Philadelphia 76ers,Golden State Warriors
hard,multiple,What is “The Sport of Kings”?,Horse Racing,Chess,Jousting,Fencing
easy,estimate,What was the year of estabilishment of the Bari Italian Football Club?,1908,1945,2014,1895
easy,boolean,There are a total of 20 races in Formula One 2016 season.,False,True,,
medium,multiple,What is the nickname of Northampton town's rugby union club?,Saints,Harlequins,Saracens,Wasps
easy,multiple,Which of the following sports is not part of the triathlon?,Horse-Riding,Cycling,Swimming,Running
medium,estimate,How many games did Arsenal FC go unbeaten during the 2003-2004 season of the English Premier League,38,51,49,22
medium,estimate,What is Tiger Woods' all-time best career golf-score?,61,65,63,67
hard,multiple,"Which player ""kung-fu kicked"" a Crystal Palace fan in January 1995?",Eric Cantona,David Seamen,Ashley Cole,Mark Hughes
medium,multiple,Edson Arantes do Nascimento is the full name of which legendary football player?,Pelé,Romário,Zico,Ronaldinho
medium,multiple,Hockey player Wayne Gretzky was born in what Canadian province?,Ontario,British Columbia,Quebec,Alberta
easy,estimate,How many soccer players should be on the field at the same time?,22,20,24,26
medium,multiple,Which NBA player won Most Valuable Player for the 1999-2000 season?,Shaquille O'Neal,Allen Iverson,Kobe Bryant,Paul Pierce
medium,multiple,The F1 season of 1994 is remembered for what tragic event?,Death of Ayrton Senna (San Marino),The Showdown (Australia),Verstappen on Fire (Germany),Schumacher's Ban (Britain)
medium,boolean,The Olympics tennis court is a giant green screen.,True,False,,
medium,multiple,Which team was the 2015-2016 NBA Champions?,Cleveland Cavaliers,Golden State Warriors,Toronto Raptors,Oklahoma City Thunders
easy,estimate,What year did the New Orleans Saints win the Super Bowl?,2010,2008,2009,2011
easy,multiple,What was the final score of the Germany vs. Brazil 2014 FIFA World Cup match?,7 - 1,0 - 1,3 - 4,16 - 0
medium,multiple,Which soccer team won the Copa América 2015 Championship ?,Chile,Argentina,Brazil,Paraguay
medium,multiple,Which NBA player has the most games played over the course of their career?,Robert Parish,Kareem Abdul-Jabbar,Kevin Garnett,Kobe Bryant
easy,multiple,"What is the name of the ""tool"" used to hit the white ball in snooker or billiards?",Cue,Racquet,Bat,Mallet
medium,multiple,"Who won the 1994 San Marino Grand Prix, the race in which Ayrton Senna was killed?",Michael Schumacher,Nicola Larini,Gerhard Berger,Mika Häkkinen
easy,multiple,Which two teams played in Super Bowl XLII?,The New York Giants & The New England Patriots,The Green Bay Packers & The Pittsburgh Steelers,The Philadelphia Eagles & The New England Patriots,The Seattle Seahawks & The Denver Broncos
easy,estimate,How many points did LeBron James score in his first NBA game?,25,19,69,41
easy,multiple,Who did Steven Gerrard win the Champions League with?,Liverpool,Real Madrid,Chelsea,Man City
hard,multiple,"Prior to 2018, which car company is the only Japanese company which won the 24 Hours of Le Mans?",Mazda,Toyota,Subaru,Nissan
easy,multiple,Which English football club has the nickname 'The Foxes'?,Leicester City,Northampton Town,Bradford City,West Bromwich Albion
medium,multiple,What country hosted the 2014 Winter Olympics?,Russia,Canada,United States,Germany
hard,multiple,Where was the Games of the XXII Olympiad held?,Moscow,Barcelona,Tokyo,Los Angeles
medium,multiple,"The 1988 Formula 1 season had McLaren win all but one race, what race did they not win?",Italian Grand Prix,Japanese Grand Prix,Monaco Grand Prix,Brazilian Grand Prix
hard,multiple,Which is Kenesisa Bekele's personal best at marathon?,2:01:41,2:01:12,2:01:45,2:01:51
medium,multiple,What is the name of the AHL affiliate of the Toronto Maple Leafs?,Toronto Marlies,Toronto Rock,Toronto Argonauts,Toronto Wolfpack
medium,multiple,Which of these English football clubs is based in Liverpool?,Everton,West Ham United,Crystal Palace,Arsenal
medium,boolean,"The first episode of WWF Monday Night RAW aired on January 11, 1990.",False,True,,
