Difficulty,Type,Question,Correct Answer,Wrong 1,Wrong 2,Wrong 3
medium,estimate,The Watergate Scandal occured in what year?,1972,1973,1974,1971
hard,multiple,"Who was the longest-serving senator in US history, serving from 1959 to 2010?",Robert Byrd,Daniel Inouye,Strom Thurmond,Joe Biden
medium,multiple,What is former United States President Bill Clinton's full name?,William Jefferson Clinton,William Roosevelt Clinton,William Truman Clinton,William Lincoln Clinton
medium,multiple,Who was elected leader of the UK Labour Party in September 2015?,Jeremy Corbyn,Ed Miliband,David Cameron,Theresa May
medium,multiple,What is the primary purpose of the Fourth Amendment to the US Constitution?,Preventing unreasonable searches and seizures,Preventing cruel and unusual punishments,Protecting against imprisonment without due process of law,Protecting the right to keep and bear arms
medium,multiple,Who became Prime Minister of the United Kingdom in July 2016?,Theresa May,Boris Johnson,David Cameron,Tony Blair
hard,boolean,"George Clinton, Vice President of the United States (1805-1812), is an ancestor of President Bill Clinton.",False,True,,
medium,multiple,"The 2014 movie ""The Raid 2: Berandal"" was mainly filmed in which Asian country?",Indonesia,Thailand,Brunei,Malaysia
easy,boolean,Russia passed a law in 2013 which outlaws telling children that homosexuals exist.,True,False,,
easy,boolean,"One of Barack Obama's United States presidential campaign slogan's was ""Yes We Can"".",True,False,,
easy,multiple,"Which former US president was nicknamed ""Teddy"" after he refused to shoot a defenseless black bear?",Theodore Roosevelt,Woodrow Wilson,James F. Fielder,Andrew Jackson
hard,boolean,Joko Widodo has appeared in the cover of a TIME magazine.,True,False,,
medium,boolean,Theresa May was the first female Prime Minister of the United Kingdom.,False,True,,
hard,boolean,Nazi Germany surrendered on Harry Truman's birthday while he was president.,True,False,,
easy,multiple,Former United States President Bill Clinton famously played which instrument?,Saxophone,Baritone horn,Piano,Violin
easy,boolean,The 2016 United States Presidential Election is the first time Hillary Clinton has run for President.,False,True,,
hard,estimate,"Starting from 2000, China banned manufacturing and sales of all video game consoles. On which year was this ban lifted?",2015,2012,2008,2017
medium,boolean,"In France, a hunting license or a sport-shooting license is needed to purchase any firearm.",True,False,,
easy,boolean,One of Donald Trump's 2016 Presidential Campaign promises was to build a border wall between the United States and Mexico.,True,False,,
easy,boolean,"In 2016, the United Kingdom voted to stay in the EU.",False,True,,
medium,multiple,Which city is the seat of government of the Netherlands?,The Hague,Amsterdam,Utrecht,Rotterdam
medium,multiple,Which of these is NOT one of Donald Trump's children?,Julius,Donald Jr.,Ivanka,Eric
easy,multiple,What candidate won the 2012 US Presidential Election?,Barack Obama,Mitt Romney,Bob Hope,Ross Perot
