Difficulty,Type,Question,Correct Answer,Wrong 1,Wrong 2,Wrong 3
medium,boolean,Android versions are named in alphabetical order.,True,False,,
medium,multiple,"What does the DOS in Microsoft's first operating system ""MS-DOS"" stand for?",Disk Operating System,Dumb Operating System,Driver Oriented System,Diskless Operating System
medium,multiple,"What does ""LCD"" stand for?",Liquid Crystal Display,Language Control Design,Last Common Difference,Long Continuous Design
easy,boolean,The NVidia GTX 1080 gets its name because it can only render at a 1920x1080 screen resolution.,False,True,,
medium,multiple,Nvidia's headquarters are based in which Silicon Valley city?,Santa Clara,Palo Alto,Cupertino,Mountain View
hard,boolean,The IBM PC used an Intel 8008 microprocessor clocked at 4.77 MHz and 8 kilobytes of memory.,False,True,,
easy,multiple,Which SQL keyword is used to fetch data from a database?,SELECT,INDEX,VALUES,EXEC
hard,estimate,"Lenovo acquired IBM's personal computer division, including the ThinkPad line of laptops and tablets, in what year?",2005,1999,2002,2008
medium,boolean,The first dual-core CPU was the Intel Pentium D.,False,True,,
medium,estimate,How many cores does the Intel i7-6950X have?,10,12,8,4
easy,multiple,"The Electron computer was released in Britain during 1983 for the home computing market, by which company? ",Acorn Computers,Sinclair Research,Amstrad PLC,Commodore Business Machines
easy,multiple,What does the Prt Sc button do?,Captures what's on the screen and copies it to your clipboard,Nothing,Saves a .png file of what's on the screen in your screenshots folder in photos,Closes all windows
medium,multiple,What was Bitcoin's block size limit in 2010?,1 MB,1GB,1 KB,1 TB
medium,multiple,What was the first Android version specifically optimized for tablets?,Honeycomb,Eclair,Froyo,Marshmellow
medium,estimate,"When was the programming language ""C#"" released?",2000,1998,1999,2001
hard,boolean,Apple was on the verge of bankruptcy in 1997 and was saved by Microsoft,True,False,,
easy,boolean,Linus Torvalds created Linux and Git.,True,False,,
medium,multiple,Which programming language was developed by Sun Microsystems in 1995?,Java,Python,Solaris OS,C++
medium,boolean,"FLAC stands for ""Free Lossless Audio Condenser""'",False,True,,
medium,boolean,"Linus Sebastian is the creator of the Linux kernel, which went on to be used in Linux, Android, and Chrome OS.",False,True,,
medium,boolean,"The common software-programming acronym ""I18N"" comes from the term ""Interlocalization"".",False,True,,
easy,boolean,Time on Computers is measured via the EPOX System.,False,True,,
medium,multiple,"Originally used in PCM adapters, what frequency is the standard for sampling audio in the Compact Disc Digital Audio format?",44.1 kHz,32.0 kHz,1.5 MHz,20.5 kHz
medium,boolean,MacOS is based on Linux.,False,True,,
medium,multiple,What is the main CPU is the Sega Mega Drive / Sega Genesis?,Motorola 68000,Zilog Z80,Yamaha YM2612,Intel 8088
medium,multiple,.rs is the top-level domain for what country?,Serbia,Romania,Russia,Rwanda
medium,multiple,"In the programming language ""Python"", which of these statements would display the string ""Hello World"" correctly?","print(""Hello World"")","console.log(""Hello World"")","echo ""Hello World""","printf(""Hello World"")"
hard,multiple,"According to DeMorgan's Theorem, the Boolean expression (AB)' is equivalent to:",A' + B',A'B + B'A,A'B',AB' + AB
medium,estimate,Approximately how many Apple I personal computers were created?,200,100,500,1000
medium,multiple,What does the acronym CDN stand for in terms of networking?,Content Delivery Network,Content Distribution Network,Computational Data Network,Compressed Data Network
medium,multiple,What was the name of the image that features as the default background wallpaper for Windows XP?,Bliss,Azul,Red moon desert,Tulips
hard,multiple,Which data structure does FILO apply to?,Stack,Queue,Heap,Tree
medium,multiple,Which of these people was NOT a founder of Apple Inc?,Jonathan Ive,Steve Jobs,Ronald Wayne,Steve Wozniak
easy,multiple,Which programming language shares its name with an island in Indonesia?,Java,Python,C,Jakarta
easy,multiple,What does LTS stand for in the software market?,Long Term Support,Long Taco Service,Ludicrous Transfer Speed,Ludicrous Turbo Speed
easy,multiple,"In ""Hexadecimal"", what color would be displayed from the color code? ""#00FF00""?",Green,Red,Blue,Yellow
medium,multiple,What does RAID stand for?,Redundant Array of Independent Disks,Rapid Access for Indexed Devices,Range of Applications with Identical Designs,Randomized Abstract Identification Description
medium,multiple,"In computing terms, typically what does CLI stand for?",Command Line Interface,Common Language Input,Control Line Interface,Common Language Interface
easy,multiple,Which computer hardware device provides an interface for all other connected devices to communicate?,Motherboard,Central Processing Unit,Hard Disk Drive,Random Access Memory
easy,multiple,The programming language 'Swift' was created to replace what other programming language?,Objective-C,C#,Ruby,C++
hard,estimate,How many Hz does the video standard PAL support?,50,59,60,25
hard,multiple,"Who invented the ""Spanning Tree Protocol""?",Radia Perlman,Paul Vixie,Vint Cerf,Michael Roberts
hard,multiple,What is the name of the process that sends one qubit of information using two bits of classical information?,Quantum Teleportation,Super Dense Coding,Quantum Entanglement,Quantum Programming
easy,multiple,What does GHz stand for?,Gigahertz,Gigahotz,Gigahetz,Gigahatz
hard,multiple,Which of the following is the oldest of these computers by release date?,TRS-80,Commodore 64,ZX Spectrum,Apple 3
easy,multiple,What does the computer software acronym JVM stand for?,Java Virtual Machine,Java Vendor Machine,Java Visual Machine,Just Virtual Machine
medium,boolean,"There is only 1 root name server, among 13 in total, that is currently located in Asia.",True,False,,
