Difficulty,Type,Question,Correct Answer,Wrong 1,Wrong 2,Wrong 3
easy,boolean,Igneous rocks are formed by excessive heat and pressure.,False,True,,
medium,boolean,Pneumonoultramicroscopicsilicovolcanoconiosis is a synonym for the disease known as silicosis.,True,False,,
medium,multiple,Myopia is the scientific term for which condition?,Shortsightedness,Farsightedness,Double Vision,Clouded Vision
easy,estimate,How many planets are there in the Solar System?,8,9,11,10
easy,multiple,What animal takes part in Schrödinger's most famous thought experiment?,Cat,Dog,Bat,Butterfly
medium,boolean,Steel is an alloy of Iron and Carbon.,True,False,,
easy,multiple,Which type of rock is created by intense heat AND pressure?,Metamorphic,Sedimentary,Igneous,Diamond
hard,multiple,Which of the following are cells of the adaptive immune system?,Cytotoxic T cells,Dendritic cells,Natural killer cells,White blood cells
medium,estimate,How many baby/milk teeth does a human child have in total?,20,10,15,25
medium,multiple,"Which NASA Space Shuttle broke apart during atmospheric re-entry on February 1, 2003? ",Columbia,Challenger,Discovery,Endeavour
hard,multiple,"In the Scoville scale, what is the hottest chemical?",Resiniferatoxin,Capsaicin,Dihydrocapsaicin,Tinyatoxin
hard,multiple,"The word ""science"" stems from the word ""scire"" meaning what?",To know,To measure,To live,To count
hard,multiple,Folic acid is the synthetic form of which vitamin?,Vitamin B,Vitamin A,Vitamin C,Vitamin D
medium,multiple,"Which desert is the only desert in the world where the ""Saguaro"" cactus grows indigenously?",The Sonoran Desert,The Gobi Desert,The Yuma Desert,The Arabian Desert
medium,multiple,Which of these is NOT a part of the structure of a typical neuron?,Islets of Langerhans,Node of Ranvier,Schwann cell,Myelin sheath
easy,multiple,The biggest distinction between a eukaryotic cell and a prokaryotic cell is:,The presence or absence of a nucleus,The overall size,The presence or absence of certain organelles,The mode of reproduction
easy,multiple,Rhinoplasty is a surgical procedure on what part of the human body?,Nose,Ears,Chin,Neck
hard,multiple,How many objects are equivalent to one mole?,6.022 x 10^23,6.002 x 10^22,6.022 x 10^22,6.002 x 10^23
hard,multiple,Autosomal-dominant Compelling Helio-Ophthalmic Outburst syndrome is the need to do what when seeing the Sun?,Sneeze,Cough,Yawn,Hiccup
easy,multiple,"This element, when overcome with extreme heat and pressure, creates diamonds.",Carbon,Nitrogen,Oxygen,Hydrogen
hard,multiple,The Western Lowland Gorilla is scientifically know as?,Gorilla Gorilla Gorilla,Gorilla Gorilla Diehli,Gorilla Beringei Graueri,Gorilla Beringei Beringei
easy,boolean,An average human can go two weeks without water.,False,True,,
hard,multiple,What genetic disease is caused by having an extra Y chromosome (XYY)?,Jacob's Syndrome,Klinefelter's Syndrome,Turner's Syndrome,Down Syndrome
easy,multiple,What is the standard SI unit for distance?,Metre,Angstrom,Foot,Fathom
easy,estimate,How many chromosomes are in your body cells?,23,21,22,24
medium,multiple,Which Swiss psychologist is synonymous with the concepts of introvert and extrovert personalities?,Carl Jung,Jean Piaget,Alice Miller,Hermann Rorschach
hard,multiple,Which of the following is NOT a real element?,Vitrainium,Praseodymium,Hassium,Lutetium
easy,boolean,"Water always boils at 100°C, 212°F, 373.15K, no matter where you are.",False,True,,
easy,multiple,What is the primary addictive substance found in tobacco?,Nicotine,Cathinone,Ephedrine,Glaucine
hard,multiple,Which moon is the only satellite in our solar system to possess a dense atmosphere?,Titan,Europa,Miranda,Callisto
medium,multiple,What part of the brain takes its name from the Greek for seahorse?,Hippocampus,Cerebellum,Thalamus,Amygdala
medium,multiple,Which part of the body does glaucoma affect?,Eyes,Throat,Stomach,Blood
medium,multiple,Which of the following is the male pollen-producing reproductive part of a flower?,Stamen,Sepal,Pistil,Petal
hard,multiple,Which of these is used to show that Earth spins on an axis? ,Foucault Pendulum ,Polaris,Sundial,Tectonic Plates 
medium,multiple,What term is best associated with Sigmund Freud?,Psychoanalysis,Cognitive-Behavioral Therapy,Theory of Gravity,Dialectical Behavior Therapy
easy,boolean,All planets in the Solar System orbit the Sun.,True,False,,
medium,multiple,What is Hypernatremia?,Increase in blood sodium,Decrease in blood potassium,Increase in blood glucose,Decrease in blood iron
medium,boolean,Sugar contains fat.,False,True,,
medium,multiple,"In aeronautics, flaps and slats are used to control what on an aircraft?",Lift,Thrust,Drag,Weight 
easy,estimate,Naturally occuring uranium primarily consists of which isotope?,238,235,239,233
medium,multiple,Which continent do sweet potatoes originally come from?,South America,Asia,Africa,Europe
hard,multiple,What nucleotide pairs with guanine?,Cytosine,Thymine,Adenine,Uracil
hard,multiple,Which of the following is a major muscle of the back?,Trapezius,Trapezium,Trapezoid,Triquetrum
medium,boolean,The Doppler effect applies to light.,True,False,,
medium,multiple,"The ""Tibia"" is found in which part of the body?",Leg,Arm,Hand,Head
hard,multiple,"What is ""Stenoma""?",A genus of moths,A combat stimulant from WW2,A type of seasoning,A port city in the carribean
medium,multiple,What is the scientific term for 'taste'?,Gustatory Perception,Olfaction,Somatosensation,Auditory Perception
medium,multiple,After which Danish city is the 72th element on the periodic table named?,Copenhagen,Odense,Herning,Skagen
hard,multiple,How long is a light-year?,9.461 Trillion Kilometres,1 AU,105.40 Earth-years,501.2 Million Miles
medium,multiple,What are human nails made of?,Keratin,Bone,Chitin,Calcium
hard,multiple,The 'Islets of Langerhans' is found in which human organ?,Pancreas,Kidney,Liver,Brain
medium,multiple,"Where did the Great Storm of 1987 make landfall at, first?",Cornwall,Surrey,Wales,The Midlands
medium,multiple,What mineral has the lowest number on the Mohs scale?,Talc,Quartz,Diamond,Gypsum
easy,multiple,71% of the Earth's surface is made up of,Water,Deserts,Continents,Forests
