Difficulty,Type,Question,Correct Answer,Wrong 1,Wrong 2,Wrong 3
medium,multiple,"Out of all of the NASA Space Shuttles, which 2 have been destroyed in disasters?",Challenger and Columbia,Enterprise and Atlantis,Discovery and Endeavour,None of the Above
hard,multiple,Which of the following is the standard THX subwoofer crossover frequency?,80 Hz,70 Hz,90 Hz,100 Hz
easy,boolean,"Microphones can be used not only to pick up sound, but also to project sound similar to a speaker.",True,False,,
hard,multiple,Who built the first laser?,Theodore Harold Maiman,Nikola Tesla,Jack Kilby,Edith Clarke
easy,multiple,What does SSD stand for in the context of computer storage?, Solid State Drive,Software Storage Device,Super Speed Data,Secure System Disk
easy,multiple,Which of the following is not a type of computer mouse?,Smoothie mouse,Drum mouse,Trackball mouse,Optical mouse
medium,multiple,What are the base station trackers used for the HTC Vive called?,Lighthouse,Motion,Constellation ,Trackers
medium,multiple,"Which company designed the ""Betamax"" video cassette format?",Sony,Panasonic,LG,Fujitsu
easy,multiple,"The term ""battery"" to describe an electrical storage device was coined by?",Benjamin Franklin,Nikola Tesla,Luigi Galvani, Alessandro Volta
easy,estimate,When was the DVD invented?,1995,2000,1990,1980
hard,boolean,During the  early parts of the Vietnam War the M16 had a record for having bad reliability,True,False,,
medium,estimate,In what year was the Oculus Rift revealed to the public through a Kickstarter campaign?,2012,2010,2011,2013
easy,multiple,What is the SI unit for resistance?,Ohms,Ampheres,Siemens,Volts
medium,multiple,What was the first Infinity Coaster in the world and where is it located?,"The Smiler, Alton Towers, UK","Madagascar Mad Pursuit, Motiongate Dubai, UAE","Gold Rush, Slagharen, Netherlands ","Monster, Adventureland Altoona, USA"
medium,multiple,How does a centrifuge separate heavy and light particles?,Spinning,Vibrating,Sifting,Ionizing
easy,boolean,The iPhone 3G was the second iPhone generation.,True,False,,
medium,estimate,When was the compact disc player first released?,1982,1983,1981,1980
easy,estimate,When was the Tamagotchi digital pet released?,1996,1989,1992,1990
easy,multiple,What does GPS stand for?,Global Positioning System,Global Personal System,General Positioning System,General Personal Satellite
medium,boolean,The Western Electric Model 500 telephone uses tone dialing to dial phone numbers.,False,True,,
easy,estimate,When did the CD begin to appear on the consumer market?,1982,1992,1972,1962
easy,multiple,Which buzzword did Apple Inc. use to describe their removal of the headphone jack?,Courage,Innovation,Revolution,Bravery
medium,multiple,Which company developed the Hololens?,Microsoft,HTC,Oculus,Tobii
easy,estimate,When was the iPhone released?,2007,2005,2006,2004
easy,multiple,What is the name of a simple machine that is made up of a stiff arm that can move freely around a fixed point?,Lever,Wedge,Screw,Pulley
medium,multiple,Who patented a steam engine that produced continuous rotary motion?,James Watt,Nikola Tesla,Albert Einstein,Alessandro Volta
easy,boolean,The communication protocol NFC stands for Near-Field Control.,False,True,,
medium,multiple,"What is the most significant side venture the popular firearms company, Remington, has pursued?",Typewriters,Blenders,Ceiling Fans,Door Knobs
medium,multiple,"Apple's Voice Assistant, Siri, debuted on which iPhone?",iPhone 4S,iPhone 6S,iPhone 3GS,iPhone 5S
hard,multiple,Which round does a WW2 M1 Garand fire?,.30-06,.308,7.62,7.62x51mm
medium,multiple,Which company manufactured the iconic TR-808 drum machine?,Roland,Technics,Korg,Casio
easy,multiple,Which gaming console is developed by Sony?,PlayStation,Xbox,Atari,Nintendo Switch
medium,multiple,"What is the ""Mitsubishi Wakamaru""?",A robot,A pickup truck,An motorcycle,A motorboat
easy,multiple,What round is a classic AK-47 chambered in?,7.62x39mm,7.62x51mm,5.56x45mm,5.45x39mm
hard,multiple,Which of the following cellular device companies is NOT headquartered in Asia?,Nokia,LG Electronics,Samsung,HTC
medium,multiple,"Mobile hardware and software company ""Blackberry Limited"" was founded in which country?",Canada,Norway,United States of America,United Kingdom
easy,multiple,Which virtual assistant is developed by Amazon?,Alexa,Google Assistant,Siri,Cortana
medium,multiple,This former Air Force and NASA engineer is the inventor of the Super Soaker water gun.,Lonnie Johnson,Bruce D'Andrade,Frances Northcutt,Ashitey Trebi-Ollennu
medium,boolean,"iRobot's revolutionary floor-cleaning vacuum, the Roomba, was first invented in 2002",True,False,,
hard,multiple,Which of the following is used to measure blood pressure?,Sphygmomanometer,Barometer,Ruler,Haemoerythrometer
