Difficulty,Type,Question,Correct Answer,Wrong 1,Wrong 2,Wrong 3
easy,boolean,"The Angry Video Game Nerd's alter ego is ""Board James"".",True,False,,
hard,multiple,What do you declare in Rīchi Mahjong when you've drawn your winning tile?,Tsumo,Ron,Rīchi,Kan
easy,estimate,How many pieces are there on the board at the start of a game of chess?,32,16,20,36
hard,multiple,"Which of these cards from ""Magic: The Gathering"" has a flavor text that begins with ""Oi oi oi""?",Uthden Troll,Lotleth Troll,Albino Troll,Harvester Troll
medium,multiple,"In ""Magic: The Gathering"", what instant card has the highest converted mana cost?",Blinkmoth Infusion,Vitalizing Wind, Chant of Vitu-Ghazi,Assert Authority
hard,multiple,"In Magic: The Gathering, which of the following was the first publicly released foil card?",Lightning Dragon,Revenant,Beast of Burden,Dirtcowl Wurm
hard,multiple,"The board game ""Monopoly"" is a variation of what board game?",The Landlord's Game,Territorial Dispute,Property Feud,The Monopolist's Game
hard,boolean,The board game Go has more possible legal positions than the number of atoms in the visible universe.,True,False,,
medium,multiple,Europa Universalis is a strategy video game based on which French board game?,Europa Universalis,Europe and the Universe,Europa!,Power in Europe
easy,estimate,"In which year was the pen and paper RPG ""Deadlands"" released?",1996,2003,1999,1993
easy,multiple,"On a standard Monopoly board, which square is diagonally opposite 'Go'? ",Free Parking,Go to Jail,Jail,The Electric Company
hard,multiple,"What was the development code name for the ""Urza's Destiny"" expansion for ""Magic: The Gathering"", released in 1999?",Chimichanga,Burrito,Taquito,Enchilada
easy,boolean,"There is a Donald Trump Board Game, which was made in 1989.",True,False,,
hard,multiple,The Dice Tower network of board game podcasts and videos is run by which individual?,Tom Vasel,Jason LeVine,Borth Sampson,Uncle Pennybags
medium,multiple,Which of the following is not a color of mana in Magic: The Gathering?,Yellow,White,Green,Blue
medium,multiple,Which of the following characters is not in the board game Clue?,Mister Indigo,Colonel Mustard,Reverend Green,Miss Scarlet
easy,estimate,How many spaces are there on a standard Monopoly board?,40,28,55,36
hard,multiple,"In standard Monopoly, what's the rent if you land on Park Place with no houses?",$35,$30,$50,$45
medium,multiple,Who was world chess champion between 1894 and 1921,Emanuel Lasker,José Raúl Capablanca,Wilhelm Steinitz,Bobby Fischer
easy,boolean,"""PAYDAY: The Heist"" is a sequel to the board game ""Payday"".",False,True,,
easy,multiple,"In a standard game of Monopoly, what colour are the two cheapest properties?",Brown,Green,Yellow,Blue
medium,multiple,What happens when you roll 3 doubles in a row in Monopoly?,Go to jail,Get paid $200,Pay $200,Move to Free Parking
medium,multiple,"In Chess, the Queen has the combined movement of which two pieces?",Bishop and Rook,Rook and King,Knight and Bishop,King and Knight
hard,multiple,"What was the development code name for the ""Weatherlight"" expansion for ""Magic: The Gathering"", released in 1997?",Mocha Latte,Decaf,Frappuccino,Macchiato
medium,multiple,"What type is ""Magic Drain"" in Yugioh! Trading Card Game?",Counter Trap,Normal Trap,Quick-Play Spell,Field Spell
