Difficulty,Type,Question,Correct Answer,Wrong 1,Wrong 2,Wrong 3
medium,multiple,Which dog breed is named after a region in Croatia,Dalmatian,Pekingnese,Chihuahua ,Pomeranian
easy,boolean,Rabbits can see what's behind themselves without turning their heads.,True,False,,
medium,boolean,You can tell the age of a ladybird by counting the spots on his back.,False,True,,
hard,multiple,What is the scientific name of the Budgerigar?,Melopsittacus undulatus,Nymphicus hollandicus,Pyrrhura molinae,Ara macao
medium,multiple,What are rhino's horn made of?,Keratin,Bone,Ivory,Skin
medium,boolean,The echidna is a monotreme.,True,False,,
medium,boolean,An octopus can fit through any hole larger than its beak.,True,False,,
hard,multiple,What scientific family does the Aardwolf belong to?,Hyaenidae,Canidae,Felidae,Eupleridae
easy,multiple,Hippocampus is the Latin name for which marine creature?,Seahorse,Dolphin,Whale,Octopus
medium,boolean,Otters have pockets under their arms for carrying their favourite snacks and rocks.,True,False,,
medium,boolean,Sea sponges can have hearts.,False,True,,
easy,estimate,How many teeth does an adult rabbit have?,28,30,26,24
hard,multiple,What is the scientific name of the cheetah?,Acinonyx jubatus,Panthera onca,Lynx rufus,Felis catus
medium,multiple,What is the world's longest venomous snake?,King Cobra,Green Anaconda,Inland Taipan,Yellow Bellied Sea Snake
medium,multiple,Cashmere is the wool from which kind of animal?,Goat,Sheep,Camel,Llama
hard,multiple,What scientific suborder does the family Hyaenidae belong to?,Feliformia,Haplorhini,Caniformia,Ciconiiformes
easy,boolean,Cats have whiskers under their legs.,True,False,,
easy,boolean,A flock of crows is known as a homicide.,False,True,,
medium,multiple,Which of these species is not extinct?,Komodo dragon,Japanese sea lion,Tasmanian tiger,Saudi gazelle
hard,multiple,What type of creature is a Bonobo?,Ape,Lion,Parrot,Wildcat
medium,multiple,What is the common term for bovine spongiform encephalopathy (BSE)?,Mad Cow disease,Weil's disease,Milk fever,Foot-and-mouth disease
medium,multiple,"What does ""hippopotamus"" mean and in what langauge?",River Horse (Greek),River Horse (Latin),Fat Pig (Greek),Fat Pig (Latin)
medium,multiple,"A carnivorous animal eats flesh, what does a nucivorous animal eat?",Nuts,Nothing,Fruit,Seaweed
easy,multiple,Wombats are native to which Country?,Australia,New Zealand,Papua New Guinea,Palau
medium,multiple,What is the collective noun for bears?,Sloth,Drove,Tribe,Husk
medium,multiple,What is the name of the family that the domestic cat is a member of?,Felidae,Felinae,Felis,Cat
medium,multiple,"The dish Fugu, is made from what family of fish?",Pufferfish,Bass,Salmon,Mackerel
easy,boolean,The Killer Whale is considered a type of dolphin.,True,False,,
medium,boolean,Hyenas are more closely related to cats than to dogs.,True,False,,
easy,multiple,What is the scientific name for modern day humans?,Homo Sapiens,Homo Ergaster,Homo Erectus,Homo Neanderthalensis
easy,boolean,Elephants are physically unable to jump.,True,False,,
hard,multiple,"Unlike on most salamanders, this part of a newt is flat?",Tail,Head,Teeth,Feet
easy,multiple,Which is the national animal of India?,Tiger,Lion,Horse,Camel
easy,boolean,Rabbits are carnivores.,False,True,,
medium,multiple,What is the scientific name of the Common Chimpanzee?,Pan troglodytes,Gorilla gorilla,Pan paniscus,Panthera leo
medium,multiple,What is the collective noun for rats?,Mischief,Pack,Race,Drift
medium,boolean,The Platypus is a mammal.,True,False,,
hard,multiple,What is the name of the copper-rich protein that creates the blue blood in the Antarctic octopus?,Hemocyanin,Cytochrome,Iron,Methionine
hard,multiple,"Which species is a ""mountain chicken""?",Frog,Chicken,Horse,Fly
easy,boolean,The Axolotl is an amphibian that can spend its whole life in a larval state.,True,False,,
hard,multiple,Which of these is a colony of polyps and not a jellyfish?,Portuguese Man-of-War,Sea Wasp,Irukandji,Sea Nettle
medium,boolean,"The ""mountain chicken"" is a chicken.",False,True,,
easy,boolean,"In 2016, the IUCN reclassified the status of Giant Pandas from endangered to vulnerable.",True,False,,
hard,multiple,What is the Gray Wolf's scientific name?,Canis Lupus,Canis Aureus,Canis Latrans,Canis Lupus Lycaon
easy,multiple,Which class of animals are newts members of?,Amphibian,Fish,Reptiles,Mammals
easy,boolean,A caterpillar has more muscles than humans do.,True,False,,
medium,multiple,Which of the following is true when alligators are behaving territorially?,They bellow while showing their tail and neck,Open their jaws while making a clicking noise,They run full force at the threat,Slap their tails on the ground
medium,multiple,What type of animal is a natterjack?,Toad,Bird,Fish,Insect
easy,boolean,A bear does NOT defecate during hibernation. ,True,False,,
hard,multiple,What is the scientific name for the Bald Eagle?,Haliaeetus Leucocephalus ,Tyto Alba,Cyanocitta Cristata,Aquila Chrysaetos
hard,multiple,"Which of the following is another name for the ""Poecilotheria Metallica Tarantula""?",Gooty,Hopper,Silver Stripe,Woebegone
easy,multiple,"The Kākāpō is a large, flightless, nocturnal parrot native to which country?",New Zealand,South Africa,Australia,Madagascar
easy,boolean,Kangaroos keep food in their pouches next to their children.,False,True,,
easy,boolean,Rabbits are rodents.,False,True,,
hard,multiple,What bird is born with claws on its wing digits?,Hoatzin,Cormorant,Cassowary,Secretary bird
