Difficulty,Type,Question,Correct Answer,Wrong 1,Wrong 2,Wrong 3
easy,boolean,Thomas Crapper was a plumber who invented the flushing toilet.,False,True,,
easy,multiple,"The ""Trail of Tears"" was a result of which United States President's Indian Removal Policy?",Andrew Jackson,Harry S. Truman,Martin Van Buren,John Quincy Adams
medium,boolean,Abraham Lincoln was the first U.S. President to be born outside the borders of the thirteen original states. ,True,False,,
hard,multiple,Spain was formed in 1469 with the marriage of Isabella I of Castile and Ferdinand II of what other Iberian kingdom?,Aragon,Galicia,León,Navarre
easy,multiple,Which of the following African countries was most successful in resisting colonization?,Ethiopia,Côte d’Ivoire,Congo,Namibia
medium,multiple,Which Greek god was the god of the Sun?,Helios,Zeus,Hades,Poseidon
medium,estimate,In what year was the last natural case of smallpox documented?,1977,1982,1980,1990
medium,multiple,"On which day did construction start on ""The Pentagon"", the headquarters for the United States Department of Defense?","September 11, 1941","June 15, 1947","January 15, 1943","September 2, 1962"
easy,multiple,Pol Pot was the former dictator of which country?,Cambodia,Laos,North Korea,Vietnam
medium,multiple,When was the United States National Security Agency established?,"November 4, 1952","July 26, 1908"," July 1, 1973"," November 25, 2002"
easy,multiple,What was the name commonly given to the ancient trade routes that connected the East and West of Eurasia?,Silk Road,Spice Road,Clay Road,Salt Road
easy,estimate,The collapse of the Soviet Union took place in which year?,1991,1992,1891,1990
hard,boolean,The USS Missouri (BB-63) last served in the Korean War.,False,True,,
medium,multiple,"According to scholarly estimates, what percentage of the world population at the time died due to Tamerlane's conquests?",5%,1%,3%,<1%
easy,multiple,Which one of these was not a beach landing site in the Invasion of Normandy?,Silver,Gold,Juno,Sword
easy,boolean,"In World War ll, Great Britian used inflatable tanks on the ports of Great Britain to divert Hitler away from Normandy/D-day landing.",True,False,,
hard,multiple,Who was the first man to travel into outer space?,Yuri Gagarin,"Virgil Ivan ""Gus"" Grissom",Neil Armstrong,Buzz Aldrin
easy,multiple,These two countries held a commonwealth from the 16th to 18th century.,Poland and Lithuania,Hutu and Rwanda,North Korea and South Korea,Bangladesh and Bhutan
medium,multiple,When was Napoleon Bonaparte crowned emperor of the French? , December 2nd 1804, July 3rd 1802, March 8th 1803, October 15th 1804
easy,multiple,Who discovered Penicillin?,Alexander Flemming,Marie Curie,Alfred Nobel,Louis Pasteur
medium,multiple,Which of the following countries was the first to send an object into space?,Germany,USA,Russia,China
easy,multiple,Who rode on horseback to warn the Minutemen that the British were coming during the U.S. Revolutionary War?,Paul Revere,Thomas Paine,Henry Longfellow,Nathan Hale
easy,boolean,The Tiananmen Square protests of 1989 were held in Hong Kong.,False,True,,
easy,multiple,What is widely considered to be the oldest civilization known to mankind?,Sumeria,Babylon,Assyria,Phoenicia
medium,boolean,United States President Ronald Reagan was the first president to appoint a woman to the Supreme Court. ,True,False,,
medium,estimate,"What number does the Roman numeral ""D"" stand for?",500,100,1000,50
easy,multiple,When was Google founded?,"September 4, 1998","October 9, 1997","December 12, 1989","Feburary 7th, 2000"
medium,multiple,Who was the Prime Minister of the United Kingdom for most of World War II?,Winston Churchill,Neville Chamberlain,Harold Macmillan,Edward Heath
medium,boolean,Ottoman Empire was created in 1299.,True,False,,
medium,multiple,The Little Entente was an alliance formed against which nation?,Hungary,Germany,France,Prussia
medium,boolean,There are 13 months in the Ethiopian calendar.,True,False,,
medium,multiple,Who was the main developer of the Suez Canal?,Ferdinand de Lesseps,Louis-Eugène Cavaignac,John Milton,Johann Lukas von Hildebrandt
easy,multiple,The Ottoman Empire was dissolved after their loss in which war?,World War I,Crimean War,Serbian Revolution,Second Balkan War
medium,multiple,Who was the first wife of King Henry VIII?,Catherine of Aragon,Jane Seymour,Anne Boleyn,Anne of Cleves
easy,multiple,Who was the first president of Kenya?,Jomo Kenyatta,Daniel Moi,Tom Mboya,Oginga Odinga
medium,multiple,"When was ""The Gadget"", the first nuclear device to be detonated, tested?","July 16, 1945","June 22, 1945","August 6, 1945","April 5, 1945"
medium,multiple,What was the code name for the German invasion of the Soviet Union in WW2?,Operation Barbarossa,Operation Kaiserschlact,Operation Unthinkable,Operation Molotov
medium,estimate,When did the British hand-over sovereignty of Hong Kong back to China?,1997,1999,1841,1900
hard,boolean,The man that shot Alexander Hamilton was named Aaron Burr.,True,False,,
hard,multiple,Toussaint Louverture led a successful slave revolt in which country?,Haiti,France,Cuba,United States
medium,boolean,Brazil used to be an empire.,True,False,,
medium,multiple,The catastrophic nuclear accident that occurred in Ukraine in 1986 occurred at which power plant?,Chernobyl,Ignalina,Mayak,Kursk
easy,multiple,"Who was among those killed in the 2010 Smolensk, Russia plane crash tragedy?",The Polish President,Pope John Paul II,Bang-Ding Ow,Albert Putin
medium,multiple,What is the oldest US state?,Delaware,Rhode Island,Maine,Virginia
medium,boolean,"Sargon II, a king of the Neo-Assyrian Empire, was a direct descendant of Sargon of Akkad.",False,True,,
medium,multiple,"Which infamous European traitor was known as ""the last person to enter Parliament with honest intentions""?",Guy Fawkes,Robert Catesby,Francis Tresham,Everard Digby
hard,boolean,The fourth funnel of the RMS Titanic was fake designed to make the ship look more powerful and symmetrical.,True,False,,
medium,estimate,In what year did the Berlin Wall fall?,1989,1987,1991,1993
medium,boolean,The two atomic bombs dropped on Japan by the United States in August 1945 were named 'Little Man' and 'Fat Boy'.,False,True,,
hard,multiple,What was the real name of the Albanian national leader Skanderbeg?,Gjergj Kastrioti,Diturak Zhulati,Iskander Bejko,Mirash Krasniki
hard,multiple,What was the last colony the UK ceded marking the end of the British Empire?,Hong Kong,India,Australia,Ireland
medium,boolean,The Panama Canal was opened to traffic within 30 days of the beginning of World War I.,True,False,,
