Difficulty,Type,Question,Correct Answer,Wrong 1,Wrong 2,Wrong 3
easy,multiple,Who painted the Sistine Chapel?,Michelangelo,Leonardo da Vinci,Pablo Picasso,Raphael
easy,multiple,Who painted the Mona Lisa?,Leonardo da Vinci ,Pablo Picasso, Vincent van Gogh,Michelangelo
easy,multiple, What color is produced by mixing black and white?,Grey,Black,Brown,White
hard,boolean,Ancient Greek and Roman sculptors often colored their statues.,True,False,,
medium,multiple,"Which artist painted “The Treachery of Images,” a painting of a pipe with the description ""this is not a pipe""?",Magritte,Matisse,Modigliani,Munch 
medium,multiple,Which of these are the name of a famous marker brand?,Copic,Dopix,Cofix,Marx
hard,multiple,What was the first successful and commercially viable photographic technique?,The Daguerreotype,Collodion process,The Turin Shroud,Kodachrome film
hard,multiple,What was the major distinction between the English and French Gothic styles of architecture?,Fan vaulting,Pinnacles,Gargoyles,Hemispherical Domes
hard,multiple,"Who painted ""American Gothic""?",Grant Wood,Anita Malfatti,Pablo Picasso,Marc Chagall
easy,multiple,Who painted The Starry Night?,Vincent van Gogh,Pablo Picasso,Leonardo da Vinci,Michelangelo
easy,multiple,"Who painted ""Swans Reflecting Elephants"", ""Sleep"", and ""The Persistence of Memory""?",Salvador Dali,Jackson Pollock,Vincent van Gogh,Edgar Degas
hard,boolean,A typical trait of the Expressionist art movement is to distort the world radically for emotional effect.,True,False,,
hard,multiple,What nationality was the famous artist Pablo Picasso?,Spanish,French,Italian,German
medium,multiple,Who painted the epic mural Guernica?,Pablo Picasso,Francisco Goya,Leonardo da Vinci,Henri Matisse
hard,estimate,"What year did Albrecht Dürer create the painting ""The Young Hare""?",1502,1702,1402,1602
easy,multiple,Who sculpted the statue of David?,Michelangelo,Gian Lorenzo Bernini,Auguste Rodin,Donatello
hard,multiple,What French sculptor designed the Statue of Liberty? ,Frédéric Auguste Bartholdi,Jean-Léon Gérôme,Auguste Rodin,Henri Matisse
easy,multiple,"Who painted ""The Starry Night""?",Vincent van Gogh,Edvard Munch,Pablo Picasso,Claude Monet
