Difficulty,Type,Question,Correct Answer,Wrong 1,Wrong 2,Wrong 3
easy,boolean,"In the ""Toaru Kagaku no Railgun"" anime,  espers can only reach a maximum of level 6 in their abilities.",False,True,,
medium,multiple,"In ""Puella Magi Madoka Magica"", what is the first name of Madoka's younger brother?",Tatsuya,Montoya,Tomohisa,Minato
medium,multiple,"What is the name of the device that allows for infinite energy in the anime ""Dimension W""?",Coils,Wires,Collectors,Tesla
medium,multiple,Which one of these Manga titles was not created by Urasawa Naoki?,My Father's Journal,Billy Bat,20th Century Boys,Monster
medium,multiple,What is the name of Ryūko Matoi's theme song in the anime Kill la Kill?,Before My Body Is Dry,Don't Lose Your Way,Till I Die,Suck Your Blood
hard,multiple,"""Silhouette"", a song performed by the group 'KANA-BOON' is featured as the sixteenth opening of which anime?",Naruto: Shippūden,One Piece,Naruto,Gurren Lagann
easy,multiple,What is the name of the stuffed lion in Bleach?,Kon,Jo,Urdiu,Chad
hard,multiple,"In ""One Piece"", who is the girl who overcame her enslaved past and became an agent of an army to fight the corrupt government?",Koala,Boa Hancock,Nico Robin,Emporio Ivankov 
medium,multiple,"In ""To Love-Ru: Darkness"", which of the girls attempt making a harem for Rito Yuuki?",Momo Deviluke,Yami (Golden Darkness),Haruna Sairenji,Mea Kurosaki
medium,multiple,"In the 2011 TV anime series, ""THE iDOLM@STER"", what was the name of Iori's stuffed toy bunny?",Charles,Bubsy,Kero,Usagi
medium,multiple,Which of the following anime of the mecha genre began airing in 1982?,The Super Dimension Fortress Macross,Mobile Suit Gundam,Armored Trooper VOTOMS,Neon Genesis Evangelion
hard,multiple,Who was the Author of the manga Monster Hunter Orage?,Hiro Mashima,Shin Yamamoto,Keiichi Hikami,Hirohiko Araki
medium,multiple,"In JoJo's Bizarre Adventure, which character is able to accelerate time?",Enrico Pucci,Jotaro Kujo,Jolyne Cujoh,Kujo Jotaro
easy,multiple,Who was a voice actor for the English dubbing of HOWL'S MOVING CASTLE (2004)?,Christian Bale,Matt Damon,Joseph Gordon-Levitt,Willem Dafoe
medium,multiple,What colour hair does the main character of the Yu-Gi-Oh! original anime series have?,"Red, black and yellow","Red, yellow and green","Red, black and green","Red, purple and blue"
easy,boolean,"In Miss Kobayashi's Dragon Maid, Tohru is a member of the harmony faction.",False,True,,
easy,multiple,The name of Junko Enoshima's imposter at the beginning of Danganronpa: Trigger Happy Havoc is?,Mukuro Ikusaba,Ryota Mitarai,Ultimate Imposter,Komaru Naegi
medium,multiple,"In ""A Certain Magical Index,"" what is Accelerator able to control?",Vectors,Velocity,Quantums,Wormholes
medium,multiple,"In the anime series ""Full Metal Alchemist"", what do Alchemists consider the greatest taboo?",Human Transmutation ,Transmuting Lead Into Gold,Using Alchemy For Crime ,Preforming Without A Permit
easy,multiple,Who is the main character with yellow hair in the anime Naruto?,Naruto,Ten Ten,Sasuke,Kakashi
medium,boolean,"In ""To Love-Ru: Darkness"", Yami reveals her real name is Eve.",True,False,,
hard,multiple,In the Overlord Anime who was Cocytus made by?,Warrior Takemikazuchi,Peroroncino,Ulbert Alain Odle,Bukubukuchagama
easy,multiple,"The two main characters of ""No Game No Life"", Sora and Shiro, together go by what name?",Blank,Immanity,Disboard,Warbeasts
medium,multiple,"In the ""Re:Zero"" manga series, which of the following Sin Archbishops eats Rem's existence?",Ley Batenkaitos,Roy Alphard,Petelgeuse Romanee-Conti,Louis Arneb
easy,multiple,"Which anime heavily features music from the genre ""Eurobeat""?",Initial D,Wangan Midnight,Kino no Tabi,Cowboy Bebop
easy,multiple,"What name is the main character Chihiro given in the 2001 movie ""Spirited Away""?",Sen (Thousand),Hyaku (Hundred),Ichiman (Ten thousand),Juu (Ten)
medium,multiple,"On what date did the original ""Fruits Basket"" anime air in Japan?","July 5th, 2001","November 1st, 2006","December 27th, 2001","October 11th, 2001"
medium,multiple,"Who voices the character ""Reigen""  in the English dub of ""Mob Psycho 100""?",Chris Niosi,Max Mittelman,Kyle McCarley,Casey Mongillo
medium,multiple,"Which of the stands from ""JoJo's Bizarre Adventure"" mimics the likeness of a tomato?",Pearl Jam,Red Hot Chili Pepper,Cream Starter,Nut King Call
hard,multiple,"In the anime, Full Metal Panic!, who is Kaname's best friend?",Kyoko Tokiwa,Melissa Mao,Ren Mikihara,"Teletha ""Tessa"" Testarossa"
hard,multiple,"Which of the following countries does ""JoJo's Bizarre Adventure: Stardust Crusaders"" not take place in?",Philippines,India,Pakistan,Egypt
easy,multiple,"How many ""JoJos"" that are protagonists are there in the series ""Jojo's Bizarre Adventure""?",8+,6+,4+,5+
hard,multiple,"In the first episode of Yu-Gi-Oh: Duel Monsters, what book is Seto Kaiba seen reading at Domino High School?",Thus Spoke Zarathustra,Beyond Good and Evil,The Republic,Meditations
medium,multiple,Which of the following films was NOT directed by Hayao Miyazaki?,Wolf Children,Princess Mononoke,Spirited Away,Kiki's Delivery Service
easy,multiple,"Who was given the title ""Full Metal"" in the anime series ""Full Metal Alchemist""?",Edward Elric,Alphonse Elric,Van Hohenheim,Izumi Curtis
medium,multiple,Who is the main character in One Piece?,Luffy,Shanks,Zoro,Smoker
medium,multiple,"How does the character Dragowizard, Qinus Axia's from the anime ""Buddyfight"" differ between the Japanese and English dubs?",Different Gender,Different Body Proportions,Different Backstory,Different Appearance
easy,boolean,"In the ""To Love-Ru"" series, Golden Darkness is sent to kill Lala Deviluke.",False,True,,
easy,boolean,"In the anime ""Naruto"", the main character is a female.",False,True,,
easy,multiple,What is Gatomon's name in the original Japanese version of Digimon Adventure?,Tailmon,Pawmon,Catmon,Nekomon
medium,multiple,"Who is the creator of the manga series ""One Piece""?",Eiichiro Oda,Yoshihiro Togashi,Hayao Miyazaki,Masashi Kishimoto
