Difficulty,Type,Question,Correct Answer,Wrong 1,Wrong 2,Wrong 3
medium,estimate,How many episodes were in season five of Samurai Jack?,10,12,11,13
medium,boolean,Night on Bald Mountain was one of the musical pieces featured in Disney's 1940's film Fantasia.,True,False,,
medium,multiple,"The stop motion comedy show ""Robot Chicken"" was created by which of the following?",Seth Green,Seth MacFarlane,Seth Rogen,Seth Rollins
easy,multiple,Which of these is NOT a Disney cartoon character?,Daffy Duck,Donald Duck,Daisy Duck,Scrooge McDuck
medium,multiple,Which one of these cartoon characters is NOT voiced by Rob Paulsen?,Max Tennyson (Ben 10),Carl Wheezer (Jimmy Neutron),Yakko Warner (Animaniacs),"The Mask (The Mask, TV Series)"
hard,multiple,"Which cartoon family lives in 31 Spooner Street, Quahog, Rhode Island USA?",The Griffins,The Simpsons,The Jetsons,The Hills
medium,multiple,"Which city did Anger berate for ruining pizza in ""Inside Out""?",San Francisco,Minnesota,Washington,California
easy,multiple,Which 'Family Guy' character got his own spin-off show in 2009?,Cleveland Brown,Glenn Quagmire,Joe Swanson,The Greased-up Deaf Guy
medium,multiple,Which Sanrio character was introduced in 1996?,Pompompurin,My Melody,Badtz-Maru,Kerropi
easy,multiple,"Which cartoon family lives in 742 Evergreen Terrace, Springfield USA?",The Simpsons,The Hills,The Flintstones,The Griffins
hard,boolean,"The first ever episode of Family Guy, ""Death Has A Shadow,"" aired on January 1st, 2002.",False,True,,
hard,multiple,Which of these cartoon girlfriends of popular characters first appeared before their boyfriends?,Olive Oyl,Minnie Mouse,Lola Bunny,Daisy Duck
medium,multiple,What is the name of Ruby Rose's weapon from RWBY?,Crescent Rose,Thorned Rosebud,Magnhild,Crooked Scythe
medium,estimate,"What year was the Disney film ""A Goofy Movie"" released?",1995,1999,2001,1997
medium,boolean,Nickelodeon rejected the pilot to Adventure Time.,True,False,,
medium,multiple,"What is Dipper's real name from ""Gravity Falls""?",Mason Pines,Mable Pines,Jason Pines,Mark Pines
easy,multiple,"In South Park, what is Stan's surname?",Marsh,Stotch,Broflovski,Tweak
medium,boolean,"In ""Avatar: The Last Airbender"" and ""The Legend of Korra"", Lavabending is a specialized bending technique of Firebending.",False,True,,
medium,boolean,Nutcracker Suite was one of the musical pieces featured in Disney's 1940's film Fantasia.,True,False,,
easy,multiple,"Who created the Cartoon Network series ""Adventure Time""?",Pendleton Ward,J. G. Quintel,Ben Bocquelet,Rebecca Sugar
easy,multiple,"Butters Stotch, Pip Pirrup, and Wendy Testaburger are all characters in which long running animated TV series?",South Park,The Simpsons,Family Guy,Bob's Burgers
easy,multiple,Who was the villain of ''The Lion King''?,Scar,Fred,Jafar,Vada
easy,multiple,What was the first Disney movie to use CGI?,The Black Cauldron,Tron,Toy Story,Fantasia
medium,multiple,"What Cartoon Network show aired its first episode on November 4th, 2013?",Steven Universe,Regular Show,Adventure Time,The Amazing World of Gumball
medium,multiple,"In ""The Simpsons"", where did Homer and Marge first meet?",At Summer Camp,At High School,At Church,At 742 Evergreen Terrace
easy,multiple,What is the name of the city that The Flintstones is based in?,Bedrock,Stoneville,Rockhampton,Boulder City
medium,multiple,"In ""SpongeBob SquarePants"", what is the name of Sandy Cheek's place of residence?",Sandy's Treedome,"""The Dome""",Sandy's Bubble,Auquatic Reseach Centre
hard,boolean,Snagglepuss was part of the Yogi Yahooies in the 1977 show Scooby's All-Star Laff-a-Lympics.,False,True,,
hard,multiple,"Benny, Brain, Fancy-Fancy, Spook and Choo-Choo were known associates of what Hanna Barbera cartoon character?",Top Cat,Yogi Bear,Snagglepuss,Scooby-Doo
easy,multiple,"In the show ""Foster's Home For Imaginary Friends"", which character had an obsession with basketball?",Wilt,Coco,Mac,Cheese
easy,multiple,What is the surname of one of the male teachers in the BBC series Postman Pat?,Pringle,Walker,Dorito,Lays
easy,multiple,"Which of these characters from ""SpongeBob SquarePants"" is not a squid?",Gary,Orvillie,Squidward,Squidette
medium,estimate,"What was the number on Gerald's shirt in ""Hey Arnold!""?",33,88,38,83
medium,multiple,What ability does Princess Sofia the First have from her amulet that allows her to breathe underwater?,Mermaid Transformation,Artificial Gills,Bubble Head,Bubble Shield
