Difficulty,Type,Question,Correct Answer,Wrong 1,Wrong 2,Wrong 3
medium,boolean,The Japanese Shinkansen beat the French TGV's speed record for fastest electric rail train.,False,True,,
hard,multiple,Which one of these chassis codes are used by BMW 3-series?,E46,E39,E85,F10
hard,boolean,There is a Rolls-Royce model called the 'Spectre',False,True,,
easy,boolean,"In 1991, Mazda became the first Japanese car manufacturer to win Le Mans.",True,False,,
medium,multiple,Which one is NOT the function of engine oil in car engines?,Combustion,Lubrication,Cooling,Reduce corrosion
medium,boolean,The Chevrolet Corvette has always been made exclusively with V8 engines only.,False,True,,
medium,multiple,Which Japanese company is the world's largest manufacturer of motorcycles?,Honda,Yamaha,Suzuki,Kawasaki
easy,estimate,The LS7 engine is how many cubic inches?,427,346,364,376
hard,multiple,Which Audi does not use Haldex based all wheel drive system?,Audi A8,Audi TT,Audi S3,Audi A3
easy,multiple,What are the cylinder-like parts that pump up and down within the engine?,Pistons,Leaf Springs,Radiators,ABS
medium,multiple,Enzo Ferrari was originally an auto racer for what manufacturer before founding his own car company?,Alfa Romeo,Auto Union,Mercedes Benz,Bentley
easy,multiple,"Where are the cars of the brand ""Ferrari"" manufactured?",Italy,Romania,Germany,Russia
easy,multiple,Automobiles produced by Tesla Motors operate on which form of energy?,Electricity,Gasoline,Diesel,Nuclear
medium,multiple,Complete the following analogy: Audi is to Volkswagen as Infiniti is to ?,Nissan,Honda,Hyundai,Subaru
medium,boolean,The majority of Subaru vehicles are made in China.,False,True,,
medium,multiple,What was the aircraft registration for the last Concorde built?,G-BOAF,F-BTSC,G-BOAC,F-BVFF
hard,multiple,What car manufacturer gave away their patent for the seat-belt in the interest of saving lives?,Volvo,Ferrari,Ford,Renault
medium,multiple,Which of the following vehicles featured a full glass roof at base model?,Renault Avantime,Chevy Volt,Mercedes-Benz A-Class,Honda Odyssey
easy,multiple,Which of these companies does NOT manufacture motorcycles?,Toyota,Honda,Kawasaki,Yamaha
medium,boolean,The first true automobile ever made was the 1886 Benz Patent-Motorwagen.,True,False,,
medium,multiple,"Which animal features on the logo for Abarth, the motorsport division of Fiat?",Scorpion,Snake,Bull,Horse
medium,boolean,"Mitsubishi Motors has had a 30-year partnership with Jackie Chan, whose movies have prominently featured their vehicles.",True,False,,
hard,estimate,What year did the Chevrolet LUV mini truck make its debut?,1972,1982,1975,1973
hard,multiple,Which car is the first mass-produced hybrid vehicle?,Toyota Prius,Chevrolet Volt,Honda Fit,Peugeot 308 R HYbrid
easy,multiple,What is the fastest road legal car in the world?,Koenigsegg Agera RS,Hennessy Venom GT,Bugatti Veyron Super Sport,Pagani Huayra BC
medium,multiple,Which of the following is NOT a Russian car manufacturer?,BYD,Silant,Dragon,GAZ
easy,multiple,Jaguar Cars was previously owned by which car manfacturer?,Ford,Chrysler,General Motors,Fiat
medium,multiple,What do the 4 Rings in Audi's Logo represent?,Previously independent automobile manufacturers,States in which Audi makes the most sales,Main cities vital to Audi,Countries in which Audi makes the most sales
