Difficulty,Type,Question,Correct Answer,Wrong 1,Wrong 2,Wrong 3
medium,multiple,What is the correct spelling of the protagonist of the book in The NeverEnding Story (1984)?,Atreyu,Atrayu,Atraiyu,Atraeyu
hard,multiple,Which sci-fi cult films plot concerns aliens attempting to prevent humans from creating a doomsday weapon?,Plan 9 from Outer Space,The Man from Planet X,It Came from Outer Space,The Day The Earth Stood Still
hard,multiple,"Which actors made up the trio in ""The Good, the Bad, and the Ugly""? ","Clint Eastwood, Eli Wallach, and Lee Van Cleef","Sergio Leone, Ennio Morricone, and Tonino Delli Colli","Yul Brynner, Steve McQueen, and Charles Bronson","Aldo Giuffrè, Mario Brega, and Luigi Pistilli"
medium,estimate,In what year was the first Transformers movie released?,1986,2007,1984,2009
hard,multiple,Which was the first of Alfred Hitchcock's movies to be filmed in colour?,Rope,Psycho,Vertigo,Rebecca
easy,multiple,"Who is frozen at the end of the movie ""Goldeneye""?",Boris Grishenko,James Bond,Natalya Simonova,Alec Travelyan
medium,multiple,"In the 1979 British film ""Quadrophenia"" what is the name of the seaside city the mods are visiting?",Brighton,Eastbourne,Mousehole,Bridlington
medium,boolean,"Joan Cusack starred in the 2009 disaster movie, ""2012"".",False,True,,
easy,multiple,"Who starred in the film 1973 movie ""Enter The Dragon""?",Bruce Lee,Jackie Chan,Jet Li, Yun-Fat Chow
medium,multiple,"What is the name of James Dean's character in the 1955 movie ""Rebel Without a Cause""?",Jim Stark,Ned Stark,Jim Kane,Frank Stark
hard,multiple,"In Big Hero 6, what were Baymax's motions modeled after?",Baby penguins,Baby monkeys,Baby ostriches,Baby bears
medium,multiple,"What is the name of the foley artist who designed the famous sounds of Star Wars, including Chewbacca's roar and R2-D2's beeps and whistles?",Ben Burtt,Ken Burns,Ralph McQuarrie,Miranda Keyes
medium,multiple,"Who voices the main character Blu in the 2011 animated film ""Rio""?",Jesse Eisenberg,Michael Cera,Jonah Hill,Zach Galifianakis
