Difficulty,Type,Question,Correct Answer,Wrong 1,Wrong 2,Wrong 3
medium,multiple,Which famous New York Yankees outfielder did Marilyn Monroe marry?,Joe DiMaggio,Tino Martinez,Babe Ruth,Mason Williams
medium,multiple,"Which radio personality calls himself ""The King of All Media""?",Howard Stern,Rush Limbaugh,Pete Tong,Ryan Seacrest
medium,estimate,What year did radio icon Howard Stern start a job at radio station WNBC?,1982,1985,1984,1995
hard,multiple,"What was the religion of famous singer ""Freddie Mercury""?",Zoroastrianism,Paganism,Ashurism,Judaism
medium,multiple,"Who is ""James Rolfe"" better known as?",The Angry Video Game Nerd,TotalBiscuit,PeanutButterGamer,PewDiePie
medium,multiple,"In 2014, this new top 100 rapper who featured in ""Computers"" and ""Body Dance"" was arrested in a NYPD sting for murder.",Bobby Shmurda,DJ Snake,Swae Lee,Young Thug
hard,boolean,Lady Gaga's real name is Stefani Joanne Angelina Germanotta.,True,False,,
medium,multiple,In which situation was musician John Lennon assassinated?,Attempting to enter the Dakota Apartments building,During an impromptu walk through Central Park,Signing an autograph outside the Record Plant studio,Waiting outside a music venue in Manhattan following a gig
medium,multiple,"Before voicing Pearl in Steven Universe, Deedee Magno Hall was part of which American band?",The Party,The Weather Girls,The Pussycat Dolls,The Cheetah Girls
easy,multiple,Which actress married Michael Douglas in 2000?,Catherine Zeta-Jones,Ruth Jones,Pam Ferris,Sara Sugarman
hard,estimate,Gabe Newell was born in which year?,1962 ,1970,1960,1972
easy,multiple,By which name is Ramon Estevez better known as?,Martin Sheen,Charlie Sheen,Ramon Sheen,Emilio Estevez
medium,multiple,"What is the real name of ""moot"", founder of the imageboard 4chan?",Christopher Poole,Mark Zuckerberg,Allison Harvard,Catie Wayne
medium,multiple,Which actress's real name was Frances Ethel Gumm?,Judy Garland,Doris Day,Julie Andrews,Marilyn Monroe
medium,multiple,What was the name of Marilyn Monroe's first husband?,James Dougherty,Joe Dimaggio,Kirk Douglas,Arthur Miller
medium,estimate,What year was O.J. Simpson aquitted of his murder charges?,1995,1992,1996,1991
medium,multiple,When was Elvis Presley born?,"January 8, 1935","December 13, 1931","July 18, 1940","April 17, 1938"
hard,multiple,How tall is Tom Cruise?,5′ 7″,5′ 9″,5′ 4″,5′ 5″
medium,boolean,"Terry Gilliam is the only American member of the comedy troupe ""Monty Python.""",True,False,,
medium,multiple,What is Doug Walker's YouTube name?,The Nostalgia Critic,The Angry Video Game Nerd,AngryJoeShow,The Cinema Snob
